Platform name, Total Gap Time, Average Gap Time, Min Value, Max Flight Time 
TGM,93:02:47:37,93:02:47:37,-963,00:01:20:11
TGQ,526:18:04:08,75:06:00:35,-804,00:02:42:47
TGRP,383:00:43:55,47:21:05:29,-898,00:02:45:34
TGYI,492:17:44:44,49:06:34:28,-952,00:02:31:29
TGZS,534:08:16:07,76:08:02:18,-632,00:02:39:49
TH,546:00:57:34,11:03:26:53,-936,00:02:42:41
THC,403:05:58:55,36:15:48:59,-905,00:02:32:25
THCO,537:16:09:37,53:18:24:57,-957,00:01:57:50
THFZ,407:21:29:37,101:23:22:24,-173,00:01:54:41
THHM,360:07:30:21,72:01:30:04,-475,00:02:11:08
THIA,418:22:18:31,83:18:51:42,-938,00:02:44:38
THK,496:19:04:17,70:23:17:45,-903,00:02:21:39
THN,486:18:46:40,69:12:58:05,-556,00:02:37:51
THO,487:20:23:38,54:04:55:57,-955,00:02:31:50
THP,472:05:48:28,47:05:22:50,-882,00:02:44:35
THPN,368:22:46:33,61:11:47:45,-863,00:02:23:36
THSJ,508:17:06:25,33:21:56:25,-954,00:02:36:47
THVP,392:13:43:39,56:01:57:39,-944,00:02:40:24
THX,240:23:38:06,40:03:56:21,-666,00:02:35:20
THXK,408:21:31:18,40:21:21:07,-670,00:02:46:32
TI,565:13:13:32,16:03:48:23,-813,00:02:36:31
TIC,463:14:36:46,51:12:17:25,-992,00:02:41:58
TILP,561:18:08:15,70:05:16:01,-673,00:02:14:26
TIN,449:05:00:05,64:04:08:35,-639,00:02:33:20
TIOH,493:19:52:27,41:03:39:22,-883,00:02:34:52
TIPR,355:03:50:29,39:11:05:36,-882,00:02:09:37
TIQE,427:00:10:37,53:09:01:19,-889,00:02:36:35
TITQ,260:07:56:45,43:09:19:27,-940,00:02:32:50
TIUG,549:05:58:29,49:22:21:40,-813,00:02:24:31
TIV,508:13:06:08,36:07:47:34,-994,00:02:44:17
TIZK,438:11:16:28,48:17:15:09,-434,00:02:44:23
TJ,566:23:34:50,07:15:53:10,-941,00:02:45:54
TJCA,543:17:54:54,45:07:29:34,-970,00:02:26:22
TJDB,287:00:45:43,143:12:22:51,0,00:02:04:55
TJDG,464:07:46:40,42:05:04:14,-855,00:01:59:19
TJO,426:12:17:50,53:07:32:13,-904,00:02:30:04
TJOY,460:23:30:08,76:19:55:01,-967,00:02:13:52
TJPK,547:07:49:02,78:04:32:43,-791,00:02:45:47
TJRE,451:22:32:53,41:02:02:59,-769,00:02:33:14
TJVZ,525:04:14:43,65:15:31:50,-734,00:02:32:15
TK,573:09:25:23,21:05:40:56,-956,00:02:43:09
TKG,335:17:22:37,25:19:47:53,-998,00:02:35:40
TKH,489:21:37:24,48:23:45:44,-848,00:02:41:53
TKK,510:14:56:58,63:19:52:07,-819,00:02:22:20
TKL,431:18:40:49,53:23:20:06,-681,00:02:34:44
TKO,562:13:09:12,56:06:06:55,-984,00:02:43:37
TKSB,460:08:12:55,46:00:49:17,-749,00:02:23:25
TKW,446:02:14:03,111:12:33:30,-872,00:02:05:21
TKYC,476:12:33:05,59:13:34:08,-782,00:02:46:24
TKZC,394:20:53:50,65:19:28:58,-56,00:01:40:50
TL,568:13:53:53,11:03:33:59,-931,00:02:45:50
TLA,236:16:59:00,118:08:29:30,-752,00:02:19:35
TLBI,323:07:47:00,107:18:35:40,-924,00:01:50:14
TLF,331:20:18:13,41:11:32:16,-892,00:02:25:41
TLG,466:03:15:42,77:16:32:37,-964,00:02:28:41
TLLR,418:07:22:42,52:06:55:20,-783,00:02:30:29
TLO,197:00:30:43,65:16:10:14,-99,00:01:23:41
TLRM,557:19:16:00,50:17:01:27,-568,00:02:19:26
TM,519:23:45:11,14:10:39:35,-869,00:02:43:40
TMAP,498:07:35:08,62:06:56:53,-990,00:01:55:33
TMF,532:12:58:04,76:01:51:09,-664,00:02:21:03
TMGP,400:00:07:11,57:03:26:44,-609,00:02:36:12
TMJ,503:01:14:38,55:21:28:17,-748,00:02:29:22
TML,473:22:57:37,52:15:53:04,-626,00:02:21:15
TMNV,532:13:02:14,31:07:49:32,-989,00:02:38:48
TMSW,504:19:52:11,45:21:26:33,-932,00:02:42:27
TMSY,469:10:47:22,67:01:32:28,-720,00:01:57:16
TMUD,499:15:02:00,41:15:15:10,-234,00:02:41:53
TN,569:21:46:34,10:18:04:16,-964,00:02:42:27
TNA,386:14:19:16,32:05:11:36,-721,00:02:46:17
TNB,537:08:21:31,67:04:02:41,-929,00:01:55:39
TNE,422:08:27:30,84:11:17:30,-576,00:02:31:28
TNFP,559:12:14:56,62:04:01:39,-854,00:02:45:48
TNND,540:22:59:35,77:06:42:47,-622,00:02:25:26
TNNT,502:17:37:02,35:21:49:47,-777,00:02:43:16
TNWS,536:23:34:02,41:07:21:04,-811,00:02:35:34
TNWU,430:07:57:54,47:19:33:06,-28,00:02:43:54
TO,549:21:23:12,32:08:19:00,-976,00:02:44:14
TOD,452:23:43:35,34:20:17:11,-977,00:02:34:06
TOI,486:10:43:19,69:11:49:02,-539,00:02:44:35
TOL,535:10:51:17,53:13:05:07,-906,00:02:39:56
TOMR,475:02:29:56,29:16:39:22,-809,00:02:35:57
TONS,499:09:28:31,45:09:35:19,-900,00:02:34:23
TOUQ,494:17:31:03,41:05:27:35,-967,00:02:43:09
TOXM,116:17:34:14,38:21:51:24,-473,00:01:56:22
TOYM,489:18:29:40,122:10:37:25,-583,00:02:39:03
TP,574:21:39:18,13:16:30:56,-998,00:02:41:25
TPBV,245:03:14:35,49:00:38:55,-934,00:02:45:05
TPIY,455:16:05:13,50:15:07:14,-874,00:02:29:46
TPLH,455:00:07:03,75:20:01:10,-619,00:02:43:04
TPM,497:02:15:24,71:00:19:20,-960,00:02:46:17
TPPJ,521:22:17:50,57:23:48:38,-652,00:02:42:59
TPQB,382:22:50:56,54:16:58:42,-744,00:02:28:02
TPZ,361:17:06:22,60:06:51:03,-607,00:02:10:25
TQ,535:14:30:44,14:21:04:11,-996,00:02:44:47
TQG,530:18:17:18,75:19:45:19,-993,00:02:36:16
TQGO,544:18:55:22,68:02:21:55,-985,00:02:15:11
TQQ,504:15:15:40,100:22:15:08,-600,00:01:57:00
TR,570:16:57:09,09:08:32:24,-953,00:02:43:37
TRDA,537:19:04:42,67:05:23:05,-934,00:02:43:09
TREM,523:23:20:45,32:17:57:32,-966,00:02:45:58
TRL,279:14:46:22,55:22:09:16,-948,00:01:11:53
TRT,511:15:43:06,30:02:20:10,-898,00:02:44:49
TRTS,492:07:55:17,49:05:35:31,-885,00:01:49:25
TS,569:23:36:04,11:09:35:31,-919,00:02:39:30
TSDJ,405:04:27:01,50:15:33:22,-949,00:02:13:42
TSE,432:17:10:17,86:13:02:03,-940,00:01:29:08
TSH,551:12:56:50,50:03:21:31,-789,00:02:42:51
TSJ,533:15:48:34,66:16:58:34,-989,00:01:48:57
TSK,527:00:28:34,31:00:01:40,-946,00:02:34:17
TSL,513:08:10:37,85:13:21:46,-972,00:02:21:50
TSR,373:03:04:27,37:07:30:26,-738,00:02:08:45
TSW,457:19:13:15,65:09:36:10,-365,00:02:36:03
TSZ,499:17:46:00,38:10:35:50,-885,00:02:30:35
TT,569:18:17:59,12:22:46:46,-998,00:02:46:29
TTD,409:21:24:21,45:13:02:42,-744,00:02:17:20
TTF,547:22:24:26,39:03:18:53,-904,00:02:40:11
TTGX,463:02:27:33,46:07:26:45,-664,00:02:09:27
TTPQ,315:05:58:37,52:12:59:46,-987,00:02:23:52
TTPX,529:02:36:51,33:01:39:48,-861,00:02:43:47
TTY,455:23:24:08,65:03:20:35,-739,00:02:20:57
TU,453:06:57:59,26:15:56:21,-611,00:02:41:27
TUCB,518:05:26:32,43:04:27:12,-523,00:02:16:57
TUGV,541:05:27:11,77:07:38:10,-337,00:02:38:43
TUHL,482:05:43:35,60:06:42:56,-987,00:02:42:14
TUJ,452:09:29:16,64:15:04:10,-956,00:01:58:11
TULM,517:01:56:10,64:15:14:31,-827,00:02:38:17
TUS,547:01:43:36,42:01:58:44,-928,00:02:18:18
TUZ,324:04:26:36,54:00:44:26,-407,00:02:28:57
TV,528:05:46:24,17:14:35:32,-957,00:02:44:17
TVG,562:23:53:47,56:07:11:22,-938,00:02:31:02
TVK,543:08:40:33,49:09:30:57,-817,00:02:42:22
TVNY,387:13:10:15,77:12:14:03,-864,00:02:29:58
TVOV,505:13:09:35,63:04:38:41,-884,00:02:40:02
TVQ,481:21:41:54,80:07:36:59,-565,00:02:37:30
TVQE,574:12:11:29,41:00:52:14,-736,00:02:33:19
TVRU,544:14:50:51,38:21:37:55,-944,00:02:46:14
TVV,533:01:35:32,41:00:07:20,-980,00:02:45:31
TVYE,510:02:49:11,51:00:16:55,-841,00:02:43:18
TW,568:15:12:13,09:19:17:47,-969,00:02:44:08
TWA,511:15:01:20,73:02:08:45,-939,00:02:24:19
TWD,550:03:44:23,68:18:28:02,-548,00:02:00:00
TWDN,446:22:07:38,55:20:45:57,-665,00:02:46:13
TWM,407:07:02:58,31:07:55:36,-934,00:02:39:26
TWQA,529:21:46:06,35:07:51:04,-718,00:02:45:30
TWZY,451:12:05:25,90:07:13:05,-753,00:01:57:47
TX,559:04:22:22,08:05:21:30,-990,00:02:40:30
TXA,423:19:55:10,52:23:29:23,-904,00:02:43:21
TXC,345:21:40:58,172:22:50:29,-683,00:01:38:02
TXEV,430:15:54:33,47:20:26:03,-932,00:02:35:30
TXJ,540:13:42:24,108:02:44:28,-879,00:02:29:46
TXL,363:12:41:18,121:04:13:46,-992,00:01:05:30
TXQX,473:10:01:05,47:08:12:06,-993,00:02:42:16
TXSO,489:01:36:18,54:08:10:42,-868,00:02:35:01
TXT,493:04:02:04,54:19:06:53,-851,00:02:22:19
TXTU,342:07:04:52,57:01:10:48,-821,00:02:36:27
TXX,482:07:26:56,60:06:55:52,-877,00:02:33:49
TY,574:02:54:35,11:11:34:41,-929,00:02:41:47
TYI,470:17:30:43,67:05:55:49,-831,00:02:20:09
TYJ,451:23:59:33,50:05:19:57,-885,00:02:38:17
TYMA,436:07:14:27,62:07:53:29,-881,00:02:26:03
TYOV,273:03:31:45,45:12:35:17,-921,00:02:31:48
TYP,293:20:14:57,48:23:22:29,-627,00:01:55:27
TYSL,346:15:34:52,115:13:11:37,-922,00:02:17:14
TYWD,514:00:08:50,57:02:40:58,-587,00:02:31:46
TZ,568:20:43:11,12:15:23:37,-940,00:02:46:17
TZBF,534:11:06:09,28:03:06:38,-954,00:02:41:37
TZFZ,491:12:02:38,70:05:08:56,-627,00:02:21:35
TZHZ,514:10:49:41,64:07:21:12,-988,00:02:33:08
TZJY,394:18:13:58,35:21:17:38,-963,00:02:39:54
TZLX,521:07:07:36,47:09:22:30,-903,00:02:07:16
TZMP,498:23:00:06,38:09:09:14,-926,00:02:30:00
TZOT,494:23:31:03,32:23:58:04,-991,00:02:44:25
TZSQ,486:02:55:30,69:10:42:12,-818,00:02:44:03
TZW,395:00:38:34,30:09:16:48,-768,00:02:26:00
TZX,564:18:00:24,43:10:36:57,-665,00:02:43:42
U,579:00:46:20,00:14:44:12,-996,00:02:46:31
UA,568:01:41:59,10:12:28:33,-894,00:02:46:18
UADQ,532:14:17:00,48:10:01:32,-874,00:02:19:38
UAEX,514:15:09:05,36:18:13:30,-606,00:02:37:39
UAFC,492:19:34:22,98:13:30:52,-578,00:02:43:00
UAI,429:16:30:29,107:10:07:37,-898,00:01:52:20
UAU,428:20:04:37,30:15:08:54,-988,00:02:40:25
UB,526:07:47:03,11:04:45:40,-945,00:02:44:32
UBC,460:18:42:48,46:01:52:16,-973,00:02:42:29
UBKQ,528:03:08:42,48:00:17:09,-906,00:02:18:03
UBN,512:01:10:32,51:04:55:03,-748,00:02:40:32
UBR,493:08:30:57,54:19:36:46,-944,00:02:31:21
UBRQ,563:21:47:25,70:11:43:25,-951,00:02:35:31
UBU,465:21:02:12,38:19:45:11,-936,00:02:35:26
UC,539:06:30:45,44:22:32:33,-822,00:02:27:41
UCGY,559:12:48:18,43:00:59:06,-975,00:02:37:01
UCKI,517:13:11:27,64:16:38:55,-861,00:02:19:11
UCN,420:13:34:26,52:13:41:48,-804,00:02:15:42
UCQB,482:15:29:11,80:10:34:51,-671,00:02:45:28
UCT,489:01:50:12,61:03:13:46,-561,00:02:42:07
UCY,492:10:06:22,61:13:15:47,-494,00:02:45:39
UD,555:08:10:55,23:03:20:27,-832,00:02:39:04
UDB,437:08:46:37,54:16:05:49,-685,00:02:16:07
UDCW,433:11:36:08,61:22:13:44,-929,00:02:18:18
UDFG,422:13:15:32,52:19:39:26,-910,00:02:34:41
UDFU,456:07:14:19,45:15:07:25,-697,00:02:21:51
UDJW,529:11:01:22,52:22:42:08,-605,00:02:25:45
UDNR,541:14:36:04,54:03:51:36,-945,00:02:18:00
UDVE,559:03:58:22,55:21:59:50,-997,00:02:39:02
UDW,481:03:45:37,34:08:50:24,-990,00:02:26:01
UE,555:23:13:57,08:23:12:48,-922,00:02:46:13
UEA,519:07:02:08,57:16:46:54,-693,00:02:41:07
UEB,536:16:00:15,41:06:46:10,-189,00:02:29:27
UECE,537:21:45:45,48:21:36:53,-930,00:02:07:57
UEE,379:23:10:41,42:05:14:31,-659,00:02:40:47
UEEB,456:21:31:55,65:06:30:16,-822,00:02:21:02
UEF,530:11:57:16,40:19:22:52,-989,00:02:43:34
UEGU,536:10:34:09,31:13:19:39,-986,00:02:40:31
UEH,406:15:14:14,58:02:10:36,-919,00:02:35:37
UEIR,484:15:09:37,60:13:53:42,-910,00:02:43:17
UELP,469:19:46:01,78:07:17:40,-989,00:02:45:36
UEP,417:09:41:44,104:08:25:26,-773,00:02:31:57
UER,321:07:39:20,40:03:57:25,-591,00:02:39:50
UEXB,568:05:48:54,51:15:48:04,-935,00:02:40:25
UEYM,561:00:50:22,80:03:32:54,-728,00:02:15:47
UF,552:01:10:19,19:17:11:04,-949,00:02:43:54
UFC,444:08:19:06,74:01:23:11,-849,00:02:37:58
UFCB,536:17:21:31,44:17:26:47,-898,00:02:43:26
UFEA,415:11:01:18,69:05:50:13,0,00:02:21:57
UFG,528:19:22:06,27:19:58:00,-942,00:02:37:42
UFL,527:10:24:11,87:21:44:01,-943,00:02:14:32
UFQF,148:01:35:07,49:08:31:42,-489,00:02:21:48
UFRN,481:22:38:01,60:05:49:45,-513,00:02:46:06
UG,560:11:42:39,13:08:16:43,-995,00:02:46:17
UGC,332:11:14:13,36:22:34:54,-823,00:02:28:17
UGF,549:14:17:41,61:01:35:17,-686,00:02:38:10
UGHY,240:14:31:18,30:01:48:54,-940,00:02:27:35
UGI,509:00:08:29,101:19:13:41,-977,00:02:16:17
UGJK,560:19:46:42,80:02:49:31,-555,00:02:24:51
UGM,527:17:46:44,58:15:18:31,-194,00:02:37:56
UGPT,527:06:49:10,47:22:26:17,-939,00:02:37:05
UGPW,418:09:33:04,69:17:35:30,-523,00:02:37:21
UH,474:05:44:18,23:17:05:12,-955,00:02:44:58
UHCU,361:02:19:21,40:02:55:29,-688,00:02:38:37
UHE,476:06:30:18,47:15:03:01,-922,00:02:37:09
UHHE,506:17:36:50,63:08:12:06,-832,00:02:45:35
UHPG,471:09:09:14,78:13:31:32,-748,00:02:34:06
UHTH,509:18:08:02,50:23:24:48,-755,00:02:36:17
UHWC,485:22:30:14,40:11:52:31,-999,00:02:37:02
UI,298:00:34:51,49:16:05:48,-883,00:02:19:16
UIB,412:05:45:09,41:05:22:30,-673,00:02:19:18
UIEN,467:21:22:22,29:05:50:08,-932,00:02:40:25
UIG,542:07:31:39,38:17:40:49,-924,00:02:27:20
UIIL,497:11:41:59,38:06:26:18,-906,00:02:46:06
UIIZ,412:09:27:38,58:21:55:22,-565,00:02:22:11
UIJ,527:15:05:20,65:22:53:10,-671,00:02:41:55
UIL,521:18:23:17,65:05:17:54,-524,00:02:22:22
UINE,307:02:56:19,76:18:44:04,-643,00:02:23:31
UIO,458:07:15:01,22:21:57:45,-822,00:02:35:35
UITD,342:13:55:38,114:04:38:32,-592,00:02:45:13
UIV,359:06:05:57,39:22:00:39,-548,00:02:38:11
UIWP,541:19:27:31,31:20:54:33,-978,00:02:41:38
UJ,565:03:12:08,09:17:50:53,-986,00:02:46:24
UJAR,447:18:22:34,49:18:02:30,-215,00:02:37:09
UJB,517:16:46:57,86:06:47:49,-919,00:02:00:39
UJC,273:01:19:07,34:03:09:53,-984,00:02:40:14
UJDD,476:04:51:03,47:14:53:06,-445,00:02:41:18
UJHG,267:05:14:45,53:10:38:57,-665,00:02:33:24
UJKU,434:12:24:20,54:07:33:02,-926,00:02:42:54
UJO,407:21:46:58,58:06:32:25,-868,00:02:35:56
UJOQ,473:23:36:42,43:02:08:47,-821,00:02:17:59
UJS,447:04:04:24,111:19:01:06,-685,00:02:10:49
UJTS,463:02:08:04,42:02:22:33,-948,00:02:44:53
UK,565:01:23:52,12:13:21:51,-985,00:02:45:35
UKGV,413:09:10:16,51:16:08:47,-777,00:01:48:03
UKI,474:23:24:20,47:11:56:26,-759,00:02:42:31
UKL,535:13:46:00,38:06:07:34,-978,00:02:40:25
UKM,503:11:05:41,62:22:23:12,-982,00:02:40:02
UKV,491:07:34:01,98:06:18:48,-829,00:02:33:02
UL,504:04:54:19,72:00:42:02,-234,00:02:43:51
ULH,524:22:50:20,58:07:52:15,-937,00:02:41:18
ULHZ,503:15:57:07,38:17:50:32,-840,00:02:42:12
ULN,499:18:39:44,49:23:27:58,-905,00:02:42:06
ULQ,566:10:58:21,43:13:46:01,-995,00:02:36:54
ULSE,119:18:56:10,29:22:44:02,-878,00:01:40:55
UM,543:06:48:29,23:14:54:16,-882,00:02:42:39
UMA,385:06:06:10,42:19:20:41,-949,00:02:09:52
UMAC,507:04:14:38,63:09:31:49,-940,00:02:37:41
UMP,176:13:09:36,35:07:25:55,-869,00:02:21:35
UMQJ,442:00:04:53,73:16:00:48,-779,00:02:38:14
UMRW,491:20:12:23,54:15:34:42,-983,00:02:38:55
UMU,515:21:36:02,85:23:36:00,-868,00:01:59:34
UMVQ,473:17:53:04,43:01:37:33,-973,00:02:28:55
UN,552:20:13:18,12:20:33:47,-945,00:02:27:07
UNE,545:10:00:11,32:02:00:00,-965,00:02:36:25
UNF,527:01:34:57,65:21:11:52,-275,00:02:17:01
UNFY,537:17:10:23,134:10:17:35,-629,00:02:39:00
UNMW,470:15:37:56,47:01:33:47,-922,00:02:13:18
UNR,442:13:56:05,55:07:44:30,-722,00:02:43:12
UNUR,476:21:53:10,47:16:35:19,-717,00:02:20:59
UNWR,479:04:36:27,68:10:56:38,-923,00:02:30:04
UNXS,465:18:40:20,66:12:57:11,-621,00:02:44:06
UNXV,533:01:21:10,88:20:13:31,-838,00:02:17:45
UNY,466:01:51:48,66:13:58:49,-739,00:02:30:26
UNZD,536:18:46:32,89:11:07:45,-732,00:02:45:15
UO,576:08:50:16,11:18:18:10,-996,00:02:43:48
UOBV,451:15:37:32,56:10:57:11,-99,00:02:46:05
UOC,489:07:02:07,48:22:18:12,-942,00:02:33:19
UOKD,569:13:12:56,56:22:55:17,-959,00:02:13:23
UOLX,528:23:51:33,29:09:19:31,-860,00:02:40:47
UOSR,503:18:16:51,62:23:17:06,-718,00:02:35:19
UOW,554:15:13:36,61:15:01:30,-639,00:02:27:20
UP,560:08:28:23,17:12:15:53,-968,00:02:46:23
UPJ,495:06:55:51,41:06:34:39,-996,00:02:24:14
UPJI,324:11:12:26,29:11:55:40,-691,00:02:34:20
UPR,440:18:05:39,48:23:20:37,-915,00:02:46:11
UPSP,409:00:58:34,68:04:09:45,-885,00:02:28:26
UPVY,278:20:36:47,69:17:09:11,-965,00:02:15:36
UPWO,543:13:50:28,49:09:59:08,-856,00:02:40:00
UPX,486:05:35:24,69:11:05:03,-740,00:02:45:00
UQ,524:15:31:59,32:18:58:14,-776,00:02:41:32
UQB,496:13:57:52,45:03:27:04,-951,00:02:32:53
UQBL,476:13:52:57,43:07:48:27,-842,00:02:46:30
UQL,447:08:32:10,111:20:08:02,-307,00:02:40:23
UQMO,490:02:26:45,44:13:18:47,-887,00:02:38:55
UQP,401:05:59:44,80:05:59:56,-870,00:02:42:53
UQQ,575:13:26:23,57:13:20:38,-824,00:02:40:39
UQU,544:00:51:48,22:16:02:09,-993,00:02:44:19
UQYX,428:13:00:37,61:05:17:13,-832,00:02:07:07
UR,451:19:54:48,30:02:55:39,-940,00:02:44:09
URCV,533:00:26:32,38:01:44:45,-968,00:02:45:34
URD,496:06:52:33,38:04:13:16,-969,00:02:44:58
URFY,557:07:20:25,69:15:55:03,-983,00:02:16:33
URG,439:03:27:55,48:19:03:06,-861,00:02:32:20
URH,407:10:00:41,81:11:36:08,-897,00:02:39:52
URI,451:11:50:20,64:11:58:37,-759,00:02:24:40
URK,427:06:09:39,30:12:26:24,-975,00:02:43:17
URMX,471:04:56:49,47:02:53:40,-473,00:02:45:27
URX,535:01:31:53,44:14:07:39,-938,00:02:41:29
URY,330:07:47:11,47:04:32:27,-911,00:02:45:37
USB,449:01:15:50,44:21:43:35,-878,00:02:45:22
USC,542:07:05:44,108:11:01:08,-484,00:02:08:15
USCG,492:21:38:32,70:09:56:56,-331,00:02:42:09
USFG,528:11:28:12,48:01:02:33,-539,00:02:23:09
USGA,441:08:24:23,73:13:24:03,-573,00:02:38:23
USI,466:00:41:10,93:04:56:14,-776,00:02:36:52
USNQ,491:22:04:25,98:09:12:53,-916,00:02:12:46
USX,533:20:42:07,59:07:38:00,-814,00:02:42:14
UT,551:18:41:27,14:21:54:38,-949,00:02:46:37
UTA,195:15:36:43,39:03:07:20,-642,00:02:34:46
UTGF,438:07:53:09,54:18:59:08,-962,00:02:13:40
UTSF,505:06:54:27,72:04:24:55,-933,00:02:44:27
UTV,471:18:27:30,47:04:14:45,-650,00:02:32:54
UTVI,572:15:03:37,63:15:00:24,-989,00:02:26:27
UTVO,542:00:51:34,108:09:46:18,-785,00:02:21:05
UTW,464:08:18:05,77:09:23:00,-503,00:02:04:05
UTWS,486:04:45:40,81:00:47:36,-935,00:02:16:45
UU,566:00:16:32,14:21:28:51,-834,00:02:44:20
UUAM,513:02:47:59,102:14:57:35,-983,00:02:36:37
UUI,577:23:08:07,27:12:31:48,-910,00:02:46:29
UUK,492:03:06:33,61:12:23:19,-735,00:02:18:53
UUPB,499:21:17:24,45:10:39:45,-958,00:02:31:56
UUQ,386:17:18:17,77:08:15:39,-812,00:02:04:35
UUT,445:06:08:50,55:15:46:06,-626,00:02:45:03
UUUN,536:22:27:48,33:13:24:14,-919,00:02:45:38
UV,518:15:18:03,25:22:21:54,-937,00:02:46:20
UVI,537:16:08:59,89:14:41:29,-738,00:02:15:04
UVLW,464:22:13:58,51:15:48:13,-978,00:01:52:17
UVM,513:13:54:28,64:04:44:18,-742,00:02:33:33
UVN,556:14:25:35,34:18:54:05,-902,00:02:42:16
UVNJ,535:14:00:49,76:12:17:15,-770,00:02:43:28
UVZW,348:11:02:00,49:18:43:08,-291,00:02:02:32
UW,482:18:08:28,20:02:45:21,-984,00:02:27:31
UWAQ,567:06:41:36,37:19:38:46,-974,00:02:35:05
UWBV,357:13:55:27,59:14:19:14,-464,00:01:40:40
UWCV,479:11:15:46,43:14:06:53,-848,00:02:13:16
UWG,478:13:30:41,59:19:41:20,-833,00:02:46:20
UWPG,521:04:44:13,57:21:51:34,-870,00:02:28:10
UWSE,554:02:03:00,69:06:15:22,-973,00:02:15:57
UWSG,472:15:35:43,94:12:43:08,-559,00:02:40:23
UWT,560:16:05:12,56:01:36:31,-759,00:02:23:58
UWZ,539:04:46:05,41:11:26:37,-878,00:02:41:23
UX,563:13:17:25,05:20:53:18,-923,00:02:44:42
UXAI,553:17:02:24,42:14:14:01,-807,00:02:35:03
UXB,506:03:51:59,50:14:47:11,-869,00:02:34:03
UXE,459:17:38:29,20:21:31:44,-978,00:02:29:23
UXF,459:04:07:08,76:12:41:11,-848,00:02:26:20
UXGT,470:10:17:01,26:03:14:16,-712,00:02:42:10
UXHU,512:04:35:02,73:04:05:00,-967,00:02:22:35
UXMA,401:11:17:37,33:10:56:28,-947,00:02:39:00
UXNW,510:02:44:57,56:16:18:19,-851,00:02:45:29
UXO,471:23:15:05,94:09:27:01,-728,00:02:35:21
UXP,435:05:51:28,36:06:29:17,-823,00:02:42:58
UXPV,508:08:00:14,50:20:00:01,-847,00:02:38:25
UXXE,530:16:16:33,58:23:08:30,-928,00:02:46:21
UXYR,415:18:20:34,59:09:28:39,-732,00:02:39:52
UY,560:18:35:51,28:00:55:47,-953,00:02:42:15
UYF,554:09:36:05,36:23:02:24,-977,00:02:32:58
UYFC,419:23:02:37,69:23:50:26,-880,00:02:34:09
UYH,517:01:17:25,57:10:48:36,-977,00:02:41:18
UYHK,229:12:46:23,38:06:07:43,-874,00:02:36:46
UYIE,562:17:10:37,43:06:51:35,-990,00:02:43:36
UYP,376:08:00:55,62:17:20:09,-870,00:02:32:01
UYRP,452:11:08:37,50:06:34:17,-895,00:02:38:10
UYTF,408:08:03:36,51:01:00:27,-910,00:02:42:25
UYUE,432:07:26:02,43:05:32:36,-997,00:02:21:52
UZ,535:15:40:05,19:03:07:51,-918,00:02:39:51
UZC,502:08:49:11,35:21:12:05,-931,00:02:16:50
UZJM,572:01:07:04,31:18:43:43,-832,00:02:45:12
UZL,430:12:41:08,43:01:16:06,-830,00:02:32:35
UZM,469:13:11:38,52:04:07:57,-973,00:02:35:34
UZS,513:04:38:43,36:15:45:37,-940,00:02:44:53
UZX,398:19:14:31,66:11:12:25,-970,00:02:40:57
UZY,513:07:07:46,28:12:23:45,-954,00:02:44:07
V,578:13:00:18,00:15:52:06,-1000,00:02:46:27
VA,575:08:09:25,11:12:09:47,-963,00:02:43:48
VAA,559:03:39:52,26:15:01:53,-942,00:02:39:14
VAK,404:21:24:58,40:11:44:29,-752,00:02:38:59
VAT,532:21:23:50,53:06:56:23,-896,00:02:43:35
VAXS,526:15:36:19,65:19:57:02,-985,00:02:34:40
VBF,539:22:18:56,44:23:51:34,-983,00:02:19:10
VBJ,523:21:17:24,65:11:39:40,-344,00:02:08:56
VBLV,374:04:31:19,46:18:33:54,-727,00:02:43:54
VBM,541:22:53:22,33:20:55:50,-949,00:02:20:12
VBOJ,361:20:05:42,51:16:35:06,-559,00:02:41:58
VBQ,489:06:42:01,54:08:44:40,-996,00:02:36:32
VBW,530:12:16:30,58:22:41:50,-968,00:02:33:32
VBYV,422:16:11:05,42:06:25:06,-730,00:02:46:12
VBZ,290:04:17:44,41:10:53:57,-962,00:02:39:52
VC,552:14:40:38,22:02:30:25,-994,00:02:42:07
VCEE,361:16:00:58,90:10:00:14,-875,00:02:29:28
VCEN,424:17:30:45,70:18:55:07,-966,00:02:24:21
VCIG,477:03:28:06,68:03:55:26,-893,00:01:48:56
VCN,533:11:31:44,66:16:26:28,-821,00:02:11:59
VCRG,471:16:53:54,47:04:05:23,-889,00:02:18:18
VD,568:07:41:41,08:05:40:36,-978,00:02:45:31
VDCP,530:06:48:53,58:22:05:25,-947,00:02:09:54
VDH,549:20:38:38,49:23:41:41,-939,00:02:40:58
VDJ,555:04:18:34,30:20:14:21,-856,00:02:44:10
VDP,439:23:36:51,48:21:17:25,-815,00:02:38:07
VDSU,531:17:19:56,40:21:38:27,-971,00:02:42:58
VE,560:00:11:13,20:00:00:24,-834,00:02:43:41
VEA,475:06:01:54,43:04:54:43,-838,00:02:36:13
VEE,557:05:56:34,92:20:59:25,-954,00:02:38:32
VEI,333:13:26:03,66:17:05:12,-77,00:02:23:10
VEL,506:08:05:47,72:08:00:49,-825,00:02:37:48
VEPC,434:19:53:33,39:12:43:03,-794,00:02:35:37
VES,459:16:48:41,76:14:48:06,-505,00:02:13:34
VEY,574:00:44:41,47:20:03:43,-963,00:02:33:41
